rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,rainfall_intensity,soil_moisture,river_level,river_level_change,elevation,slope,distance_to_river,historical_flood_frequency,flood_label
68.89,110.02,172.75,269.76,77.97,87.31,6.28,3.49,2330.8,45.8,6.1,0.442,1
26.64,55.95,60.67,119.42,20.39,66.97,2.09,0.12,1823.6,32.8,4.98,0.453,0
27.19,55.89,102.54,159.39,34.62,68.85,3.31,0.67,1961.4,36.6,5.51,0.658,0
11.53,33.83,48.99,121.24,11.47,43.69,2.17,-0.2,991.5,35.2,3.83,0.674,0
6.31,29.22,46.88,76.97,6.16,52.83,1.81,-0.19,1009.8,19.8,2.92,0.824,0
33.45,65.45,95.83,105.79,32.2,49.38,2.17,-0.01,1342.8,30.0,3.97,0.563,0
2.49,3.01,4.77,11.39,2.46,19.69,1.99,-0.47,990.2,35.0,3.56,0.624,0
7.71,14.09,25.16,54.36,7.52,37.95,1.54,-0.2,2321.8,37.9,6.13,0.515,0
8.34,30.34,36.2,100.48,10.06,59.45,1.87,-0.12,2255.6,40.3,7.18,0.49,0
6.34,17.06,22.63,41.05,7.93,61.44,1.69,-0.17,1097.7,17.3,4.59,0.682,0
9.11,14.0,29.84,51.47,8.99,37.27,1.71,-0.32,1059.3,38.2,3.99,0.677,0
6.84,20.84,45.06,69.79,5.18,59.5,1.96,-0.27,2207.3,40.6,7.56,0.442,0
14.65,53.01,102.69,183.19,15.03,77.35,3.03,0.32,717.3,24.6,4.18,0.634,0
15.54,36.01,54.41,78.39,12.42,59.85,2.46,-0.08,3020.8,44.2,8.77,0.288,0
1.72,2.3,4.02,7.38,1.21,38.74,1.45,-0.32,751.2,23.8,2.39,0.806,0
21.42,45.47,52.16,73.35,16.31,64.02,1.95,-0.03,1141.6,28.2,4.92,0.598,0
7.33,47.64,95.56,204.4,8.3,71.39,3.57,0.13,2829.9,57.4,10.14,0.267,0
5.98,8.08,34.6,67.77,7.01,59.21,1.81,-0.15,2896.5,48.7,7.86,0.328,0
2.26,8.93,14.24,34.31,1.81,28.81,1.76,-0.36,925.9,26.1,3.16,0.759,0
7.13,22.43,53.68,153.31,8.11,48.14,2.04,-0.2,3100.5,44.0,8.35,0.284,0
2.75,10.26,33.96,37.68,2.5,48.04,1.73,-0.22,3197.5,48.3,8.65,0.284,0
3.05,8.63,27.7,90.53,3.53,44.74,1.83,-0.12,1693.1,31.8,8.1,0.415,0
8.33,16.94,30.06,48.51,10.25,40.63,1.95,-0.22,2893.2,40.8,8.6,0.352,0
78.54,132.87,180.93,328.7,74.38,86.51,6.94,3.52,2539.7,49.8,7.31,0.387,1
15.12,95.13,159.97,224.52,14.16,71.97,4.28,-0.06,881.3,26.6,2.53,0.691,0
6.3,12.5,39.47,44.35,7.95,41.34,2.03,-0.33,2474.7,33.4,8.42,0.34,0
29.29,57.25,94.21,165.59,32.21,61.76,2.45,0.35,754.5,14.2,6.82,0.691,0
13.95,24.79,27.5,61.79,13.79,59.46,1.58,0.13,1156.8,32.7,3.3,0.696,0
1.71,2.69,3.3,6.04,1.2,15.33,1.55,-0.14,3070.5,50.9,11.6,0.203,0
44.3,69.3,85.27,119.44,51.59,49.3,2.45,0.7,2956.6,52.7,8.98,0.38,0
35.66,47.91,71.76,184.71,41.92,58.25,2.49,0.69,2998.9,47.8,9.04,0.245,0
39.49,77.03,98.88,169.1,50.76,58.65,3.21,0.99,2386.4,46.7,6.49,0.382,1
65.77,81.83,104.63,145.79,64.0,63.79,3.61,1.54,2809.1,51.4,11.76,0.243,1
61.49,90.98,111.34,183.03,76.12,74.1,3.4,1.83,1399.2,23.4,6.15,0.535,1
6.28,10.02,19.71,26.06,6.05,42.18,1.69,-0.17,1300.9,31.4,3.57,0.7,0
20.04,32.78,59.46,79.14,23.15,37.07,1.53,-0.29,1611.1,26.5,5.3,0.532,0
1.18,2.39,5.0,15.34,1.41,46.83,1.36,-0.45,2383.9,41.4,7.67,0.491,0
7.16,10.99,20.46,30.2,7.33,23.94,1.7,-0.31,2295.8,37.4,12.92,0.192,0
16.01,29.84,105.93,158.39,16.33,64.68,2.96,0.11,2441.2,45.2,7.53,0.473,0
60.12,87.22,181.69,330.25,69.93,89.58,5.79,2.66,1577.5,28.8,4.86,0.597,1
6.46,11.91,14.05,33.43,4.67,22.92,1.13,-0.38,2097.8,42.2,7.64,0.498,0
34.35,71.53,124.77,251.1,29.05,59.69,2.86,0.31,1590.6,29.1,6.58,0.567,0
10.06,17.44,25.01,47.07,9.09,62.1,1.48,-0.08,1216.3,35.2,4.82,0.598,0
16.73,26.35,45.41,95.0,12.77,56.76,1.88,0.0,1748.9,36.3,9.29,0.433,0
29.74,38.47,54.79,119.78,24.42,62.13,1.87,0.5,3041.7,47.8,8.27,0.378,0
47.93,76.94,138.16,157.77,49.86,53.41,3.1,0.62,1964.1,41.0,8.29,0.465,0
19.64,45.15,82.97,165.31,22.09,48.84,2.84,0.05,2381.4,45.2,7.41,0.391,0
25.13,34.02,47.29,84.13,29.48,32.98,1.88,-0.12,2594.4,49.0,6.95,0.344,0
18.92,24.0,99.89,150.41,21.02,72.08,3.29,0.52,2656.9,42.8,7.91,0.38,0
19.42,47.36,156.74,350.89,16.63,84.04,5.05,0.49,2123.2,37.9,6.14,0.585,1
28.71,30.71,39.28,87.98,36.55,51.43,1.81,0.35,3058.0,47.1,10.3,0.267,0
4.32,32.4,55.57,87.01,5.24,50.21,2.14,-0.11,2505.0,38.2,6.74,0.348,0
59.33,87.42,169.6,220.47,73.6,61.72,3.68,1.29,1050.0,28.5,5.01,0.716,1
80.38,92.68,140.71,207.46,69.26,70.58,4.01,1.59,1711.2,35.1,5.94,0.547,1
55.47,93.3,141.26,158.64,68.14,54.63,2.86,0.84,1738.2,30.3,5.52,0.494,0
23.86,83.48,173.3,346.74,19.16,70.11,4.13,0.2,1723.9,32.1,7.66,0.501,0
56.24,69.79,156.42,216.68,68.95,90.44,4.44,1.94,941.8,18.6,2.68,0.706,1
11.01,20.14,38.63,59.67,8.52,34.79,1.44,-0.09,1723.1,34.5,7.39,0.498,0
17.49,26.9,42.49,52.72,17.38,32.22,1.66,-0.35,2399.6,33.3,8.21,0.337,0
25.01,38.83,64.38,78.54,26.57,65.33,2.54,0.16,568.7,26.9,5.11,0.685,0
19.87,43.04,51.5,89.32,14.81,56.21,2.17,0.03,846.2,22.6,2.81,0.829,0
40.39,52.57,72.4,170.46,48.77,55.28,2.36,0.55,2402.9,41.9,6.98,0.45,0
18.03,23.64,38.4,89.11,19.61,49.38,1.89,-0.04,1195.9,25.3,3.65,0.579,0
1.15,10.67,18.32,20.93,1.36,35.63,1.31,-0.09,1468.5,34.9,4.15,0.703,0
28.78,35.97,56.3,75.62,32.82,50.28,1.87,0.21,1412.9,25.5,5.65,0.652,0
31.85,84.47,96.04,169.09,24.71,76.13,4.02,0.76,2856.5,56.7,8.27,0.336,0
38.85,48.96,106.69,123.81,39.9,71.68,3.46,1.18,2812.0,48.9,7.63,0.319,0
10.34,11.54,17.66,34.31,9.98,57.42,1.88,-0.15,2211.2,36.3,7.72,0.404,0
11.35,31.64,56.11,190.52,10.76,74.18,2.37,-0.01,665.3,22.1,2.21,0.682,0
9.37,66.91,171.6,268.42,9.69,65.89,4.08,-0.24,991.2,33.1,3.31,0.769,1
14.07,31.88,55.46,66.05,15.23,61.82,2.05,-0.03,3154.2,43.4,8.13,0.24,0
9.63,14.77,24.61,37.76,11.03,45.81,1.75,-0.25,2884.0,41.5,7.77,0.32,0
26.21,51.82,71.72,88.8,20.49,57.24,2.5,0.21,2834.0,51.0,7.55,0.354,0
13.07,53.41,74.98,126.15,9.86,61.03,2.4,-0.2,1993.4,36.9,8.69,0.487,0
5.56,7.65,21.68,44.57,4.54,28.19,1.24,-0.41,918.5,27.9,6.73,0.554,0
14.67,16.06,27.76,56.5,16.03,55.75,1.69,0.23,1851.7,41.4,5.58,0.466,0
9.5,54.24,78.61,176.5,8.78,80.37,2.47,-0.09,631.6,24.8,3.96,0.737,0
12.6,26.88,86.04,114.55,10.88,51.5,2.17,-0.28,876.4,19.1,7.69,0.599,0
62.82,109.41,123.38,163.2,63.64,50.19,2.85,0.93,2329.7,47.5,7.64,0.416,0
48.59,62.91,115.68,184.96,41.36,56.2,2.81,0.38,1668.4,26.5,4.49,0.494,0
19.72,33.29,78.41,133.68,21.52,60.31,2.94,0.02,1751.6,39.2,4.96,0.56,0
9.21,12.12,26.5,48.18,9.32,36.59,1.48,-0.06,3195.3,58.0,9.51,0.251,0
17.57,23.69,61.62,123.82,21.48,63.04,2.29,0.14,721.5,21.6,2.32,0.748,0
4.89,16.91,35.56,47.06,3.82,44.65,1.6,-0.14,663.9,26.3,2.84,0.745,0
22.64,34.54,100.78,147.3,28.07,52.95,2.42,0.24,1103.8,28.8,3.37,0.675,0
37.11,43.24,48.56,76.09,42.94,47.28,1.54,0.35,1383.3,28.7,4.76,0.624,0
9.71,13.2,21.02,42.17,10.65,53.0,2.05,-0.33,1023.3,26.3,3.21,0.709,0
86.88,169.96,297.07,432.77,93.23,66.87,7.19,2.95,2868.6,57.3,8.66,0.404,1
18.63,34.59,62.14,92.26,14.92,43.81,1.74,-0.02,2735.4,45.1,8.03,0.35,0
21.98,24.17,65.68,120.51,22.53,40.84,1.86,0.03,2974.2,47.3,10.05,0.242,0
11.58,17.87,21.77,39.11,8.15,32.58,2.04,-0.25,2016.6,39.5,5.88,0.485,0
14.51,27.35,44.68,54.88,12.49,40.24,2.36,-0.07,3025.9,44.0,9.22,0.377,0
60.43,90.65,116.75,141.15,43.36,75.32,3.23,0.87,524.6,20.4,1.78,0.821,1
5.09,27.6,32.92,91.29,4.76,39.93,1.76,-0.43,1428.5,37.1,5.6,0.639,0
50.06,71.76,130.01,140.68,36.47,70.71,3.85,0.93,1817.6,42.9,5.23,0.522,0
23.45,43.75,76.51,145.52,22.18,77.89,2.96,0.43,1919.1,39.7,5.14,0.5,0
9.8,40.28,136.84,274.45,7.08,91.82,4.15,0.05,719.7,21.0,2.59,0.718,0
5.49,15.99,18.05,39.57,4.04,55.12,1.85,-0.13,2412.5,38.2,6.77,0.469,0
26.33,51.09,67.38,144.69,31.51,61.08,2.54,0.55,3030.5,40.3,7.87,0.298,0
18.43,26.39,42.02,114.27,21.02,44.23,1.45,-0.06,1409.4,27.0,3.94,0.716,0
9.58,19.8,44.32,85.87,11.5,51.49,1.95,-0.17,757.5,27.0,2.27,0.639,0
14.46,18.16,36.37,46.55,15.74,34.68,2.12,-0.32,2483.9,40.1,7.69,0.34,0
34.37,55.56,100.64,186.56,30.09,73.87,3.5,0.62,2766.1,44.8,8.62,0.346,0
36.58,42.37,80.8,128.68,36.7,46.31,1.78,0.27,2189.8,42.0,7.23,0.465,0
28.98,49.86,78.11,153.63,28.69,70.54,2.21,0.52,1573.1,24.0,4.86,0.62,0
4.23,14.89,27.69,59.71,3.18,60.3,1.79,-0.09,1256.7,26.3,4.32,0.736,0
16.76,34.07,101.21,152.46,18.52,77.06,3.2,0.13,874.4,33.7,2.81,0.7,0
18.91,32.93,82.84,108.93,21.24,62.68,2.83,0.15,2360.7,38.7,6.91,0.447,0
45.46,53.09,64.95,194.62,47.52,72.6,2.85,1.31,1997.9,40.0,7.22,0.43,1
7.83,9.57,24.12,38.85,7.42,57.46,1.95,-0.19,1248.2,31.8,4.12,0.66,0
2.5,17.14,39.86,87.28,1.91,42.18,1.6,-0.14,2565.1,39.2,6.91,0.404,0
6.88,19.49,27.26,48.83,7.52,39.81,2.1,-0.27,1499.2,30.9,3.97,0.605,0
25.52,48.64,59.96,120.57,31.9,44.99,2.01,0.15,2575.2,39.5,7.26,0.436,0
20.56,36.92,60.8,110.04,26.54,56.85,2.13,0.14,1247.7,28.3,4.21,0.617,0
43.68,65.52,121.25,180.64,32.07,70.52,3.23,0.58,2186.7,37.6,5.67,0.443,0
9.42,19.19,55.33,67.71,10.19,60.94,2.4,0.1,1290.8,35.9,5.35,0.587,0
19.69,28.45,93.5,109.7,17.68,46.72,2.03,-0.22,1652.3,33.2,5.02,0.553,0
1.26,1.54,2.9,7.2,1.13,38.39,1.59,-0.23,2309.8,43.5,6.32,0.436,0
70.3,87.25,103.28,233.42,82.07,57.48,2.51,1.44,1375.1,31.0,5.82,0.533,1
29.49,97.26,171.78,359.07,30.67,72.42,4.96,0.61,2464.3,41.9,10.3,0.323,1
3.02,6.17,7.56,15.0,3.21,36.88,1.57,-0.4,2555.1,44.1,6.67,0.356,0
25.62,46.86,86.79,166.81,23.27,70.49,2.67,0.5,3157.0,46.9,10.05,0.272,0
10.53,19.37,32.23,49.96,7.85,62.13,1.61,-0.31,599.9,30.4,2.58,0.805,0
33.14,40.26,81.56,90.87,39.85,55.26,2.72,0.55,3176.7,49.3,10.97,0.2,0
6.85,19.43,46.21,104.28,5.67,45.17,1.34,-0.38,930.6,17.0,3.23,0.645,0
2.47,6.21,7.83,23.36,3.0,29.57,1.46,-0.28,2844.1,37.8,8.7,0.295,0
12.05,25.31,36.82,81.68,9.72,53.52,1.63,-0.29,603.4,23.7,6.52,0.603,0
6.25,14.89,16.84,26.09,5.21,41.92,1.37,-0.44,515.8,21.2,3.74,0.725,0
1.87,2.16,4.77,11.07,1.63,32.64,1.38,-0.16,1518.5,41.6,5.24,0.616,0
1.64,3.43,4.23,9.67,1.31,17.25,1.56,-0.18,1502.3,35.9,4.04,0.655,0
7.91,22.21,46.11,95.13,5.92,67.45,2.32,-0.17,2196.3,31.0,6.14,0.446,0
4.1,8.11,8.76,18.76,4.36,35.19,1.75,-0.18,1611.9,38.6,8.6,0.486,0
26.36,47.34,79.52,91.93,30.24,55.87,2.02,0.17,1236.1,28.8,3.82,0.652,0
79.12,131.04,178.88,349.2,95.8,64.22,4.27,2.44,2103.1,40.6,7.26,0.562,1
16.53,58.68,101.55,263.12,17.96,64.93,3.36,0.28,2603.4,50.2,9.11,0.364,0
21.83,33.87,39.33,49.7,24.19,41.25,1.68,0.11,1991.6,30.3,5.18,0.463,0
34.11,39.7,60.61,71.58,44.29,55.47,2.37,0.33,1313.3,18.5,4.89,0.681,0
17.56,26.14,59.95,90.61,17.63,63.35,2.09,-0.17,1020.0,18.1,3.13,0.661,0
46.13,53.43,78.61,165.76,33.48,72.41,3.0,0.6,3189.7,39.5,8.62,0.327,0
11.96,16.82,25.0,43.73,12.54,37.54,1.8,-0.26,1034.4,25.7,3.62,0.745,0
7.5,15.26,24.29,60.53,8.52,52.05,1.83,-0.1,2861.9,45.9,9.18,0.292,0
19.31,25.61,46.44,52.96,14.2,37.07,1.47,-0.12,1813.5,40.9,6.16,0.454,0
64.12,75.71,112.58,271.35,56.88,88.42,4.61,2.15,2891.4,38.2,7.62,0.43,1
40.65,85.11,129.62,259.69,39.43,85.3,4.79,1.51,2735.2,39.4,7.69,0.432,1
31.97,53.32,109.7,132.14,26.0,51.28,2.7,0.31,3135.9,47.3,8.87,0.313,0
28.38,61.55,83.9,103.28,26.02,75.66,1.89,0.29,760.6,8.7,3.09,0.709,0
24.55,82.32,156.06,218.91,19.02,61.45,3.66,0.2,1398.3,32.7,6.28,0.57,0
13.04,61.55,82.63,118.1,11.46,46.83,2.39,-0.05,2643.8,46.7,7.24,0.469,0
60.83,108.52,163.56,303.98,64.07,87.96,6.07,2.75,2507.3,38.8,8.11,0.41,1
12.08,25.14,40.6,81.18,14.72,43.5,1.71,-0.06,2022.6,32.3,5.76,0.496,0
61.11,87.33,142.41,240.6,75.42,56.7,2.76,1.09,1503.8,29.0,7.81,0.513,1
10.78,12.9,15.81,34.86,13.07,43.36,1.67,-0.21,1832.1,35.3,4.95,0.444,0
10.9,21.65,29.94,69.13,13.53,42.43,1.33,-0.37,1952.2,22.6,6.26,0.544,0
88.79,157.47,172.48,324.5,98.45,61.25,3.38,2.25,1307.7,39.3,3.73,0.597,1
19.12,43.25,61.86,82.43,20.25,66.85,1.98,0.06,2054.2,32.4,9.74,0.449,0
13.62,25.57,32.49,56.45,16.2,30.07,1.9,-0.24,1876.2,37.1,6.45,0.496,0
12.32,29.69,36.68,78.23,12.22,34.79,1.51,-0.08,2418.7,42.6,7.19,0.378,0
8.64,20.44,54.82,106.21,10.22,48.8,1.99,-0.29,1806.0,32.7,6.71,0.488,0
5.1,29.04,82.13,114.03,6.62,46.78,2.07,-0.22,490.3,14.7,2.03,0.839,0
15.74,51.08,87.43,116.29,12.34,68.58,2.68,0.19,1288.6,30.9,6.25,0.612,0
3.92,8.88,15.48,67.97,4.31,62.43,1.78,-0.19,2476.0,41.0,7.5,0.426,0
8.41,80.8,185.51,340.64,6.88,84.63,5.74,-0.05,2046.2,36.1,5.34,0.646,0
10.32,16.93,35.46,82.73,11.92,66.14,1.94,-0.03,1927.5,30.5,5.28,0.554,0
33.76,42.35,70.68,97.84,34.22,67.76,1.89,0.67,2074.6,25.9,6.59,0.531,0
7.63,26.52,53.88,72.44,7.32,59.4,2.24,-0.07,1182.2,28.7,4.26,0.686,0
18.77,21.58,41.09,75.72,19.57,55.93,1.49,0.12,1650.0,34.6,4.52,0.545,0
55.36,116.68,201.83,267.87,55.8,57.48,3.48,0.83,1376.7,28.8,5.31,0.52,1
22.41,47.12,134.59,357.58,16.69,75.69,4.62,0.35,833.7,34.0,4.77,0.797,0
4.94,8.44,11.91,28.51,3.5,48.26,1.45,-0.3,2755.6,42.4,7.73,0.386,0
15.73,39.72,50.14,115.39,14.69,63.04,2.24,-0.22,1350.9,21.9,3.82,0.639,0
28.92,87.67,121.4,168.5,33.22,61.14,3.1,0.34,1700.4,41.3,5.69,0.481,0
5.23,6.02,12.0,16.38,4.58,19.44,1.9,-0.13,2698.4,40.3,7.52,0.324,0
18.73,27.6,38.93,97.75,13.72,72.2,2.27,0.17,1571.8,35.6,5.01,0.568,0
26.17,30.31,53.42,109.16,29.44,74.13,2.48,0.49,1014.0,29.4,3.97,0.656,0
45.67,63.56,93.38,198.54,51.65,65.42,3.27,1.13,3068.5,46.6,8.91,0.214,1
6.28,41.23,95.86,214.71,5.91,60.07,2.47,-0.34,2340.6,37.0,6.09,0.41,0
4.22,6.5,14.85,27.69,4.99,22.67,1.37,-0.33,2817.2,46.1,9.2,0.244,0
33.85,88.2,124.38,156.43,27.83,57.21,2.91,0.54,3046.4,47.9,9.67,0.269,0
8.03,9.41,12.81,34.17,8.83,52.24,1.6,-0.03,3185.6,42.3,8.41,0.318,0
13.13,21.48,28.7,56.31,10.25,30.74,1.47,-0.14,1512.2,33.4,6.09,0.492,0
0.57,4.61,9.53,11.19,0.53,22.73,1.53,-0.34,467.0,21.3,1.89,0.807,0
17.91,36.98,43.69,73.54,16.69,36.39,1.5,-0.04,1148.4,27.1,5.42,0.639,0
39.53,109.02,133.83,221.93,40.72,82.61,5.18,1.72,2406.6,50.4,7.35,0.425,1
14.58,36.82,48.94,99.26,15.97,67.05,2.14,0.07,1266.2,23.5,3.73,0.665,0
47.55,62.88,98.12,192.28,61.57,84.06,3.23,1.94,1546.9,24.7,7.71,0.456,1
13.17,21.56,33.11,37.36,10.44,56.41,1.75,0.03,2211.9,36.1,6.7,0.428,0
9.28,10.94,22.24,47.55,7.39,56.74,2.26,0.02,2562.2,42.4,6.91,0.375,0
20.41,54.88,80.65,172.48,24.64,52.92,2.65,0.29,2758.8,54.1,7.3,0.327,0
30.02,55.71,78.75,165.22,22.22,51.04,2.33,0.19,3008.6,42.7,8.79,0.322,0
22.93,31.73,60.19,184.78,21.6,58.05,2.08,0.06,1659.9,34.5,4.8,0.57,0
27.78,52.94,92.2,140.07,24.61,71.56,2.96,0.57,957.0,32.4,3.26,0.631,0
26.92,47.26,78.11,171.78,27.28,86.32,2.2,0.2,465.9,10.0,4.2,0.725,1
6.7,32.24,49.95,103.04,4.77,57.76,2.27,-0.34,2439.4,44.7,7.23,0.485,0
27.85,73.17,141.36,194.89,31.74,84.48,4.09,0.73,415.4,22.5,4.25,0.633,1
62.64,105.48,148.87,288.76,64.92,57.48,3.81,1.29,2410.2,42.6,8.48,0.378,1
4.46,25.49,31.73,78.07,5.66,68.99,2.14,-0.11,1436.0,22.8,5.25,0.654,0
26.04,50.33,88.02,179.41,33.26,85.45,3.06,0.65,757.6,18.8,3.15,0.7,1
16.89,21.57,41.42,54.44,18.07,63.47,1.82,-0.07,919.5,21.5,6.02,0.575,0
15.46,20.67,49.02,108.09,13.31,63.22,2.22,0.11,2359.5,35.7,8.26,0.349,0
58.13,86.42,140.54,254.19,59.22,51.76,2.81,1.06,2321.7,51.0,7.24,0.433,1
5.57,31.59,62.86,84.88,6.38,37.99,1.66,-0.09,2759.3,39.5,7.49,0.424,0
24.11,48.21,91.94,135.86,20.59,53.89,2.56,0.09,2883.1,35.9,7.55,0.362,0
29.09,36.4,59.2,161.53,22.05,52.12,2.22,0.1,882.0,26.1,4.15,0.685,0
21.4,49.73,119.05,230.12,24.82,57.2,2.33,0.25,1265.7,23.1,3.45,0.696,1
21.54,33.18,49.9,147.11,17.85,57.19,2.14,-0.04,619.3,17.4,4.58,0.773,0
9.9,18.18,43.99,50.17,7.35,33.68,1.43,-0.12,1315.2,26.6,6.96,0.494,0
26.88,36.68,42.58,94.29,27.4,60.53,1.87,0.26,432.5,26.1,1.88,0.834,0
3.54,5.46,10.25,13.06,3.17,47.59,2.05,-0.35,1851.7,33.4,4.97,0.526,0
4.06,5.97,16.91,36.62,2.91,29.0,1.76,-0.27,1042.3,35.4,3.3,0.75,0
34.23,82.88,115.75,198.45,28.13,72.63,3.72,0.78,2986.1,45.7,8.01,0.429,1
22.06,24.58,37.12,55.73,21.96,52.71,1.82,0.15,2861.3,49.4,8.68,0.302,0
51.89,68.88,84.03,112.9,56.17,78.72,3.15,1.14,1238.7,18.0,4.07,0.669,1
36.66,76.52,150.68,211.82,32.62,59.87,3.12,0.42,770.5,23.0,2.37,0.644,1
6.66,21.75,70.21,180.45,5.91,58.7,2.35,-0.33,457.1,10.5,2.51,0.769,0
4.52,21.78,48.24,71.7,5.33,51.37,1.73,-0.14,2891.0,45.9,9.28,0.35,0
9.53,49.62,93.26,149.22,10.66,57.3,1.78,-0.1,494.6,7.9,4.17,0.679,0
16.63,35.55,67.63,141.51,14.58,68.5,2.74,0.25,2501.7,45.6,8.48,0.319,0
12.87,28.35,64.3,76.08,15.22,70.91,2.51,0.02,409.9,18.2,1.34,0.791,0
38.08,41.65,93.63,122.35,27.5,69.24,3.08,0.36,1619.8,31.9,5.13,0.634,0
3.6,10.71,16.49,24.31,4.08,47.65,1.68,-0.16,1194.8,24.9,5.06,0.612,0
3.49,4.03,7.77,15.41,2.63,55.42,1.59,-0.08,1225.2,21.5,3.98,0.732,0
12.43,19.85,37.37,68.99,10.38,67.21,2.08,-0.05,1111.2,26.4,3.78,0.683,0
16.3,38.82,45.66,83.91,18.54,61.7,2.22,0.19,2219.2,40.0,7.2,0.338,0
30.28,40.41,53.3,149.62,23.98,68.62,2.71,0.35,2895.6,50.2,13.36,0.157,0
16.24,21.76,38.97,117.19,19.05,57.63,1.74,0.22,1302.6,24.3,4.04,0.716,0
30.54,49.13,56.5,130.31,31.35,75.09,2.48,0.98,1859.2,41.0,4.87,0.584,0
25.62,55.49,108.82,197.39,22.26,83.67,3.28,0.16,1199.9,16.8,3.48,0.597,0
14.08,18.45,46.33,120.49,12.94,53.68,2.04,-0.13,2810.0,49.1,8.94,0.267,0
3.71,12.21,20.77,26.79,3.97,40.0,1.63,-0.34,763.4,28.1,3.0,0.719,0
19.74,40.28,66.86,124.77,19.06,76.32,2.48,0.06,1300.8,25.3,4.3,0.652,0
29.24,77.4,105.67,191.43,21.85,83.78,3.5,0.58,1413.6,28.4,4.63,0.621,1
7.59,12.21,46.05,140.64,5.92,63.75,2.09,0.04,2296.9,36.8,11.47,0.341,0
42.9,124.78,249.96,483.32,31.87,70.07,6.74,0.95,2872.8,47.4,8.73,0.355,1
64.46,96.05,113.6,217.25,63.04,72.53,3.55,1.37,1741.8,31.5,5.9,0.473,1
18.98,45.9,96.71,145.6,20.5,61.58,3.18,0.29,3180.8,45.9,9.89,0.312,0
33.67,78.83,122.2,134.95,34.91,55.68,3.06,0.46,2562.9,50.1,10.63,0.257,0
42.6,59.74,85.92,140.61,51.32,57.18,2.07,0.52,450.4,22.4,1.88,0.755,1
17.06,29.98,38.68,72.32,18.95,42.34,1.91,-0.18,1517.6,33.0,5.02,0.521,0
3.09,8.08,19.43,33.88,3.81,30.59,1.28,-0.42,1930.8,28.9,5.6,0.623,0
1.75,11.18,22.82,27.57,2.1,49.3,1.61,-0.46,2781.7,31.5,10.62,0.32,0
16.08,39.63,50.68,205.12,16.29,76.85,2.42,0.35,3109.7,50.0,14.64,0.171,0
